objectid,osm_id,fcode,facility_type,name,subdistrict,district,state,country,longitude,latitude
48,457962199,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.19029441808173,27.84040039570014
151,457962211,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.2028429682387,27.820976844466475
180,254923953,7204,Industrial,,Leh,Leh Ladakh,Ladakh,India,74.3671966398502,35.91809520105194
188,457954467,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.58422320168577,26.890080918106598
204,782441360,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.75704479951845,27.161602234877773
256,457962156,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.1170767194688,27.680472971130794
292,457954480,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.6198830997619,26.911312149906482
297,457973208,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,70.04109790013115,27.41089855021294
340,457973187,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.06055433000365,27.55722099542404
439,457973199,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.98396542235294,27.45353739899319
587,457948060,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.67989315570713,27.073369523522498
658,457962171,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.13345114005693,27.769628369887407
751,457954457,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.65105237076982,27.065463973930466
919,457962163,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.13805547423497,27.74392323101081
922,889329498,7204,Industrial,,Leh,Leh Ladakh,Ladakh,India,74.13631110001629,35.35067109992631
1004,782441361,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.74279418161852,27.163040835394064
1007,457962153,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.11030857331322,27.675998899959982
1008,457962203,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.18677800103183,27.842964683911983
1057,457954483,7204,Industrial,,Sam,Jaisalmer,Rajasthan,India,69.67731472757103,26.93705825980889
1076,231908219,7204,Industrial,,Data Not Available,Muzaffarabad,Jammu And Kashmir,India,73.58531075440304,34.25788911794459
1080,548612768,7204,Industrial,,Hangrang,Kinnaur,Himachal Pradesh,India,78.58298320315451,32.01728731969714
1113,457973168,7204,Industrial,,Ramgarh,Jaisalmer,Rajasthan,India,70.17956068536566,27.60078335083957
1160,944823981,7204,Industrial,,Leh,Leh Ladakh,Ladakh,India,75.64079905078198,35.28130420482661
